popularity,song,file
73,Like a Rolling Stone,larollin.txt
72,Knockin' On Heaven's Door - Remastered,knockonheaven.txt
69,Hurricane,hurrycane.txt
66,Girl from the North Country,somethingthere.txt
65,Shelter from the Storm,shelter.txt
63,Mr. Tambourine Man,mrtombou.txt
63,Tangled up in Blue,tangledup.txt
61,"Lay, Lady, Lay",laylady.txt
59,"Baby, Let Me Follow You Down - Live from London 5/26/66",babymood.txt
59,The Man in Me,maninme.txt
58,Subterranean Homesick Blues,subterre.txt
58,I Want You,iwantyou.txt
57,Simple Twist of Fate,simpletwist.txt
56,All Along the Watchtower,aawatcht.txt
56,Ballad of a Thin Man,ballthin.txt
55,Just Like a Woman,jliwoman.txt
55,Like a Rolling Stone - Live from London 5/26/66,larollin.txt
54,Visions of Johanna,visionjo.txt
54,Forever Young - Slow Version,foreveryoung.txt
54,"It's All over Now, Baby Blue",ishallbereleased.txt
53,One More Cup of Coffee,onemocoffee.txt
53,Rainy Day Women #12 & 35,rai12&35.txt
52,Billy 1 - Remastered,billy.txt
52,Changing of the Guards - Remastered,aingogri.txt
51,"It's Alright, Ma (I'm Only Bleeding)",tonightill.txt
51,"If You See Her, Say Hello",ifyouseeher.txt
50,Make You Feel My Love,myfmlove.txt
50,Buckets of Rain,slowtrain.txt
50,Desolation Row,desolati.txt
50,Meet Me in the Morning,newmorning.txt
49,Queen Jane Approximately,queenjan.txt
49,Highway 61 Revisited,highwater.txt
49,Stuck Inside of Mobile with the Memphis Blues Again,littlesadie.txt
49,Jokerman,jokerman.txt
49,Not Dark Yet,notdark.txt
49,You're Gonna Make Me Lonesome When You Go,youmakelon.txt
48,Maggie's Farm,maggiefa.txt
48,Forever Young - Fast Version,foreveryoung.txt
48,Isis,isis.txt
48,Idiot Wind,blowwind.txt
47,If Not for You,ifnotforyou.txt
47,Tombstone Blues,tombston.txt
47,You're a Big Girl Now,youbiggirl.txt
46,Gotta Serve Somebody,gottaserve.txt
46,"Lily, Rosemary and the Jack of Hearts",ifyouseeher.txt
46,Most of the Time,mosttime.txt
46,Sad-Eyed Lady of the Lowlands,saved.txt
45,Leopard-Skin Pill-Box Hat,leopard.txt
45,She Belongs to Me,shebelon.txt
45,Just Like Tom Thumb's Blues,julittbl.txt
45,Sara,sara.txt
45,"It Takes a Lot to Laugh, It Takes a Train to Cry",freighttrain.txt
45,Thunder on the Mountain,deathemt.txt
45,Man in the Long Black Coat,downintheflood.txt
45,I Guess I'll Have to Change My Plans,gonnachange.txt
45,The Best Is Yet to Come,honestwith.txt
44,Tonight I'll Be Staying Here with You,tonightill.txt
44,Mozambique,mozamb.txt
44,One of Us Must Know (Sooner or Later),onemocoffee.txt
44,I Threw It All Away,ritamay.txt
44,September of My Years,steelbar.txt
44,"Oh, Sister",ohsister.txt
44,Love Minus Zero,somethingthere.txt
44,Precious Angel,preciousangel.txt
43,I Shall be Released - Take 1,ishallbereleased.txt
43,I'll Be Your Baby Tonight,onemorenight.txt
43,Love Sick,lovesick.txt
43,The Times They Are A-Changin' - Live,thingshave.txt
43,Sweetheart Like You,whereareyou.txt
43,From a Buick 6,frobuick.txt
42,Nashville Skyline Rag,angelina.txt
42,I Could Have Told You,iwantyou.txt
42,Workingman's Blues #2,worrblue.txt
42,Fourth Time Around,foreveryoung.txt
42,Just Like a Woman - Live from Manchester 5/17/66,jliwoman.txt
42,Mississippi,mississ.txt
42,Every Grain of Sand,everygrain.txt
42,To Be Alone with You,tobealone.txt
41,Country Pie,countrypie.txt
41,Tell Me That It Isn't True,tellmethat.txt
41,One More Night,onemorenight.txt
41,Once Upon a Time,notime.txt
41,Peggy Day,peggyday.txt
41,Bob Dylan's 115th Dream,bobdream.txt
41,Most Likely You Go Your Way (And I'll Go Mine),tomorrowisalong.txt
41,Stormy Weather,highwater.txt
41,Wigwam - Remastered,wiggle.txt
41,Born In Time - (Unreleased) [Oh Mercy],borntime.txt
41,Absolutely Sweet Marie,absolusm.txt
41,Black Diamond Bay,blackdia.txt
41,Romance in Durango,romance.txt
41,Autumn Leaves,thingshave.txt
41,Pledging My Time,pledging.txt
